incident_number,incident_id,title,summary,details,status,service,created_at,updated_at
358,Q3H2YD231EYBIR,Smart Receipts with Expense Analytics,[#358] Smart Receipts with Expense Analytics,"Users could now receive smart digital receipts with detailed expense analytics, helping them gain insights into their spending habits and make informed financial decisions.",triggered,Payment Processing System,2024-03-08T06:48:03Z,2024-03-08T06:48:03Z,
361,Q056V2FNN82XAN,Eco-Luxe Retreats,[#361] Eco-Luxe Retreats,"Designing Sustainable Luxury Resorts and Eco-Friendly Retreats, Harmonizing Opulence with Environmental Responsibility",resolved,GreenThumb Landscapes,2024-03-08T06:48:29Z,2024-03-08T06:48:37Z,
362,Q3PA9N4CVLVH9J,Virtual Financial Advisors,[#362] Virtual Financial Advisors,"The payment processing service partnered with AI-driven financial advisory platforms, offering users personalized advice on budgeting, investments, and financial planning.",triggered,Payment Processing System,2024-03-08T06:48:43Z,2024-03-08T06:48:43Z,
363,Q3CGQLKLA9DO7U,Botanical Research Gardens,[#363] Botanical Research Gardens," Fostering Scientific Exploration and Conservation Efforts, Preserving Plant Diversity and Genetic Resources.",resolved,GreenThumb Landscapes,2024-03-08T06:48:59Z,2024-03-08T06:49:06Z,
364,Q1ATO0AT8CL77D,Global Philanthropy Day:,[#364] Global Philanthropy Day:,"The service celebrated a Global Philanthropy Day, wherein a percentage of all transactions made on that day was contributed to various charitable causes chosen by the users.",triggered,Payment Processing System,2024-03-08T06:49:23Z,2024-03-08T06:49:23Z,
365,Q3N6F14U0Z7WF9,Drought-Tolerant Landscapes,[#365] Drought-Tolerant Landscapes," Creating Water-Wise Gardens and Xeriscapes, Thriving in Arid and Water-Scarce Environments.",resolved,GreenThumb Landscapes,2024-03-08T06:49:28Z,2024-03-08T06:49:36Z,
366,Q06QH7OWR5JTQS,Multi-Currency Wallet Integration,[#366] Multi-Currency Wallet Integration,"Users applauded the integration of a multi-currency wallet within the payment processing service, simplifying international travel and transactions by allowing seamless switching between different currencies.",resolved,Payment Processing System,2024-03-08T06:50:01Z,2024-03-22T08:20:11Z,
367,Q1BJU93Y51VYXJ,Accessible Nature Trails,[#367] Accessible Nature Trails," Designing Inclusive Outdoor Spaces and ADA-Compliant Trails, Connecting People of All Abilities with Nature.",resolved,GreenThumb Landscapes,2024-03-08T06:50:04Z,2024-03-08T06:50:13Z,
368,Q29865K8TUD8JD,Heirloom Gardens,[#368] Heirloom Gardens,": Cultivating Heritage Varieties and Open-Pollinated Seeds, Preserving Agricultural Diversity and Culinary Traditions.",resolved,GreenThumb Landscapes,2024-03-08T06:50:38Z,2024-03-08T06:50:47Z,
369,Q3XI1BVP93IWKP,Urban Agriculture Initiatives,[#369] Urban Agriculture Initiatives,"Establishing Community Gardens and Food Forests, Promoting Local Food Production and Food Security.",resolved,GreenThumb Landscapes,2024-03-08T06:51:13Z,2024-03-08T06:51:21Z,
370,Q00CRFAHWH9UJC,Sustainable Drainage Solutions,[#370] Sustainable Drainage Solutions," Implementing Rain Gardens and Bioswales, Managing Stormwater Runoff and Protecting Water Quality.",resolved,GreenThumb Landscapes,2024-03-08T06:51:48Z,2024-03-08T06:51:56Z,
371,Q0C1UPBDURZ09S,Seaside Resilience,[#371] Seaside Resilience," Designing Coastal Landscapes and Shoreline Stabilization Projects, Adapting to Rising Sea Levels and Erosion",resolved,GreenThumb Landscapes,2024-03-08T06:52:19Z,2024-03-08T06:52:26Z,
372,Q225JJ54WGWIL2,Garden Sanctuaries for Wildlife,[#372] Garden Sanctuaries for Wildlife," Creating Habitat Gardens and Wildlife Corridors, Providing Refuge and Resources for Native Fauna.",resolved,GreenThumb Landscapes,2024-03-08T06:52:47Z,2024-03-08T06:52:54Z,
373,Q1DHI2EU5ZKV1M,Sustainable Community Parks,[#373] Sustainable Community Parks,"Designing Multi-Functional Green Spaces and Recreation Areas, Enhancing Quality of Life for Residents",resolved,GreenThumb Landscapes,2024-03-08T06:53:19Z,2024-03-08T06:53:26Z,
376,Q22ZDBKDNZ67E4,Artificial Intelligence in Landscaping,[#376] Artificial Intelligence in Landscaping," Integrating AI Solutions for Efficient Design, Maintenance, and Resource Management.",resolved,GreenThumb Landscapes,2024-03-08T06:56:34Z,2024-03-08T06:56:45Z,
377,Q2MV7P3SUB2O01,"""Botanical Gardens of the Future","[#377] ""Botanical Gardens of the Future","Designing Innovative Spaces for Education, Conservation, and Scientific Research",resolved,GreenThumb Landscapes,2024-03-08T06:57:12Z,2024-03-08T06:57:20Z,
378,Q0MAL04ISSZUQ5,Historical Landscape Preservation,[#378] Historical Landscape Preservation, Restoring and Preserving Landscapes of Cultural Significance and Historical Value,resolved,GreenThumb Landscapes,2024-03-08T06:57:49Z,2024-03-08T06:57:57Z,
380,Q3GCDRE5EU4ES5,Celebrity Garden Makeovers,[#380] Celebrity Garden Makeovers,"Transforming Outdoor Spaces for Celebrities and High-Profile Clients, Blending Luxury with Nature",resolved,GreenThumb Landscapes,2024-03-08T06:58:30Z,2024-03-08T06:58:38Z,
382,Q3TYL39ZU4LNPF,"""Public Art in Landscaping","[#382] ""Public Art in Landscaping"," Incorporating Sculptures, Installations, and Murals into Outdoor Environments for Aesthetic Enhancement.",resolved,GreenThumb Landscapes,2024-03-08T06:59:10Z,2024-03-08T06:59:18Z,
384,Q0A54HCR0ODI0S,Inclusive Park Design,[#384] Inclusive Park Design,Creating Parks and Public Spaces Accessible to Individuals with Disabilities and Special Needs,resolved,GreenThumb Landscapes,2024-03-08T06:59:40Z,2024-03-08T06:59:47Z,
385,Q3QUD3Q1PYIFWF,Waterfront Redevelopment,[#385] Waterfront Redevelopment, Revitalizing Coastal Areas and Riverfronts through Thoughtful Landscape Design and Environmental Restoration.,resolved,GreenThumb Landscapes,2024-03-08T07:00:19Z,2024-03-08T07:00:25Z,
388,Q2V4F1M6IHY3W9,Bee-Friendly Gardens,[#388] Bee-Friendly Gardens, Designing Pollinator Habitats and Bee Sanctuaries to Support Bee Populations and Biodiversity,resolved,GreenThumb Landscapes,2024-03-08T07:00:58Z,2024-03-08T07:01:06Z,
390,Q2HOMVAUEZ9HA8,Vertical Farming Innovations,[#390] Vertical Farming Innovations, Designing Vertical Gardens and Urban Farms to Maximize Food Production in Limited Spaces,resolved,GreenThumb Landscapes,2024-03-08T07:01:31Z,2024-03-08T07:01:40Z,
401,Q00FBTLGR0IRVG,The server is on fire.,[#401] The server is on fire.,"A disk is getting full on this machine. You should investigate what is causing the disk to fill, and ensure that there is an automated process in place for ensuring data is rotated (eg. logs should have logrotate around them). If data is expected to stay on this disk forever, you should start planning to scale up to a larger disk.",triggered,HealthHarbor Wellness,2024-03-08T07:43:29Z,2024-03-08T07:46:37Z,
